debido,causa
TRAUMATISMO OBDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF 06 PENETRANTES,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEAL GRAVE POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF 01 PENETRANTE,SIN REGISTRO
HERIDA PENETRANTE 01 EN LA CABEZA POR BALA,SIN REGISTRO
HERIDAS PERFORANTES POR PAF,SIN REGISTRO
ASFIXIA MECÁNICA VIOLENTA A DETERMINAR SU CLASIFICACIÓN.,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX ABDOMEN PELVIS Y BRAZO DERECHO,SIN REGISTRO
HERIDAS PENETRANTES POR BALAS UNA EN CABEZA Y OTRA EN TORAX,SIN REGISTRO
TRAUMATISMO CRÁNEO ENCEFÁLICO POR PAF.,SIN REGISTRO
HERIDA PERFORANTE EN EL TORAX POR BALA,SIN REGISTRO
HERIDAS POR PAF EN CABEZA TÓRAX Y BRAZO DERECHO,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
TRAUMA ABDOMINAL POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN TORAX POR PAF.,SIN REGISTRO
TRES HERIDAS PENETRANTES 1 TORAXICA Y 2 TORACOABDOMINAL POR PAF,SIN REGISTRO
1 HERIDA PENETRANTE EN HEMITORAX DERECHO-1 HERIDA PERFORANTE EN REGION DELTOIDEA IZQUIERDA -2 HERIDAS PERFORANTES EN REGION INTERESCAPULAR POR PAF,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES MULTIPLES POR BALAS,SIN REGISTRO
HERIDAS CONTUSAS POR PAF EN TÓRAX - CUELLO - EXTREMIDAD SUPERIOR 01 PENETRANTE,SIN REGISTRO
PERFORANTES EN CABEZA CUELLO TÓRAX ABDOMEN MIEMBROS SUPERIORES E INFERIORES POR PAF.,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN CEFÁLICA 01 X PAF Y HERIDA PERFORANTE EN REGIÓN TORÁCICA 01 X PAF,SIN REGISTRO
TRAUMATISMO ABIERTO PENETRANTE POR PAF EN TORAX,SIN REGISTRO
1 HERIDA PERFORANTE Y 1 HERIDA PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
HERIDA PENETRANTE EN CABEZA 01 POR PAF,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN ABDOMEN,SIN REGISTRO
1 HERIDA PENETRANTE Y 1 HERIDA PERFORANTE POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO CORPORAL MULTIPLE POR PAF - 02 PENETRANTES,SIN REGISTRO
HERIDAS PENETRANTES X PAF EN REGIÓN ABDOMINAL 05,SIN REGISTRO
TRAUMA TORACICO ABIERTO POR PAF,SIN REGISTRO
TRAUMA ABDOMINAL ABIERTO POR PAF 01 PENETRANTE,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN CEFÁLICA 01 X PAF Y HERIDA PERFORANTE EN REGIÓN DORSO-LUMBAR 01 X PAF,SIN REGISTRO
HERIDA PERFORANTE 01 DE TÓRAX A CARA POR BALA,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO POR PAF.,SIN REGISTRO
HERIDAS POR PAF EN CUELLO TÓRAX ABDOMEN PELVIS Y MIEMBRO INFERIOR IZQUIERDO,SIN REGISTRO
HERIDA PERFORANTE EN REGIÓN CEFALO-CERVICAL 01 X PAF Y HERIDA PERFORANTE EN MUSLO IZQUIERDO 01 X PAF,SIN REGISTRO
HERIDAS PENETRANTES DE MIEMBRO SUPERIOR Y TORAX POR PAF,SIN REGISTRO
HERIDA PERFORANTE 01 EN TORAX POR PAF,SIN REGISTRO
HERIDA PENETRANTE EN CABEZA 01 X PAF,SIN REGISTRO
HERIDAS PENETRANTES CRÁNEO ENCEFÁLICA TORAXICA Y ABDOMINAL POR PAF.,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CUELLO,SIN REGISTRO
LACERACION DE ARTERIA HUMERAL Y RADIAL POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DOS. Y UNA PERFORANTE CON REINGRESO PENETRANTE EN SEGMENTO CABEZA Y TORAX POR PAF,SIN REGISTRO
UNA HERIDA PENETRANTE POR PAF EN CABEZA - UNA HERIDA PERFORANTE POR PAF EN CABEZA -UNA HERIDA PENETRANTE POR PAF TORACOABDOMINAL,SIN REGISTRO
LESIONES GRAVES POR PROYECTIL DE ARMA DE FUEGO - PAF.,SIN REGISTRO
1 HERIDA PERFORANTE POR PAF EN TORAX- 1 HERIDA PERFORANTE POR PAF EN ABDOMEN Y UNA HERIDA PENETRANTE POR PAF EN BRAZO IZQUIERDO,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO POR PAF - 01 HERIDA PERFORANTE EN TORAX-01 HERIDA PENETRANTE EN TORAX -01 HERIDA PERFORANTE EN PIERNA DERECHA -01 HERIDA PERFORANTE PIERNA IZQUIERDA,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN TORAX,SIN REGISTRO
4 ENTRADAS PENETRANTES POR IMPACTO DE PAF.,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO GRAVE POR PAF.,SIN REGISTRO
HERIDAS PENETRANTES Y PERFORANTES POR PAF EN TORAX Y HERIDAS PERFORANTES POR PAF EN ABDOMEN,SIN REGISTRO
HERIDA PENETRANTE POR PAF.,SIN REGISTRO
DOS HERIDAS PERFORANTES POR PAF EN TORAX Y UNA HERIDA PERFORANTE POR PAF EN ABDOMEN,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN TÓRAX,SIN REGISTRO
HERIDAS POR PAF EN CUELLO TÓRAX Y ABDOMEN,SIN REGISTRO
TRES HERIDAS PERFORANTES POR PAF EN CABEZA Y UNA HERIDA PERFORANTE POR PAF EN CUELLO,SIN REGISTRO
HERIDAS POR PAF EN CABEZA Y TORAX,SIN REGISTRO
HERIDA POR PAF EN TORAX,SIN REGISTRO
HERIDA PERFORANTE POR PAF TORACOABDOMINAL,SIN REGISTRO
HERIDA PERFORANTE -01- POR PAF EN PELVIS-ABDOMEN,SIN REGISTRO
HERIDA POR PAF TORACO-ABDOMINAL,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR TORACICO T8-T9 POR PAF,SIN REGISTRO
HERIDAS PERFORANTES 02 EN REGION TORACO-ABDOMINAL POR PAF Y HERIDA PENETRANTE 01 EN REGION ABDOMINO-PELVICA POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN REGIÓN TORÁCICA 01 X PAF,SIN REGISTRO
HERIDAS PENETRANTES POR PAF EN CABEZA Y EN TÓRAX,SIN REGISTRO
HERIDA PENETRANTE EN TORAX 01 POR PAF,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO DE CRANEO TORACOABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX Y CABEZA,SIN REGISTRO
TRAUMATISMO TORACO-ABDOMINAL POR PAF,SIN REGISTRO
HERIDAS MULTIPLES CEFALICAS Y CERVICAL POR BALAS 04 PENETRANTES,SIN REGISTRO
HERIDA HABIERTA PERFORANTE EN ABDOMEN - PAF,SIN REGISTRO
LESIONES VERTEBRO MEDULAR Y PULMONAR POR PAF,SIN REGISTRO
TRAUMATISMO CRÁNEO ENCEFÁLICO SEVERO PERFORANTE POR PAF.,SIN REGISTRO
UNA HERIDA PERFORANTE POR PAF EN TORAX Y OTRA EN ABDOMEN-PELVIS,SIN REGISTRO
07 HERIDAS PENETRANTES POR PAF EN TORAX -02 HERIDAS PENETRANTES POR PAF EN ABDOMEN,SIN REGISTRO
UNA HERIDA PENETRANTE POR PAF CRANEO CERVICAL,SIN REGISTRO
PERFORACION CARDIACA POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO ABDOMINAL POR PAF.,SIN REGISTRO
HERIDA PERFORANTE EN TÓRAX 01 POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CABEZA CUELLO TÓRAX ABDOMEN PELVIS MIEMBROS SUPERIORES Y MIEMBRO INFERIOR IZQUIERDO,SIN REGISTRO
HERIDAS PENETRANTES EN CABEZA 01 Y TORAX 01 Y HERIDA PERFORANTE EN TORAX 01 POR PAF,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX ABDOMEN Y MIEMBRO INFERIOR DERECHO,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF.,SIN REGISTRO
LACERACION MULTIPLE INTESTINAL POR PAF,SIN REGISTRO
TRAUMA TORÁCICO ABIERTO POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA 01 POR PAF.,SIN REGISTRO
02 HERIDAS PENETRANTES POR PAF EN CABEZA -01 HERIDA PERFORANTE POR PAF EN TORAX - 01 HERIDA PERFORANTE POR PAF EN ABDOMEN,SIN REGISTRO
HEMONEUMOTORAX MASIVO POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CABEZA,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO ABIERTO POR PAF TIPO MULTIPROYECTIL.,SIN REGISTRO
UNA HERIDA PERFORANTE POR PAF EN CABEZA Y UNA PENETRANTE POR PAF EN HEMITÓRAX DERECHO,SIN REGISTRO
HERIDAS PENETRANTES 02 EN CABEZA Y 01 HERIDA PENETRANTE EN TORAX POR PAF.,SIN REGISTRO
UNA HERIDA PERFORANTE EN CABEZA Y HERIDAS PERFORANTES Y PENETRANTES EN TORAX Y ABDOMEN CAUSADAS POR PAF,SIN REGISTRO
LACERACIÓN Y HEMORRAGÍA ENCEFALICA POR PAF.,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEAL ABIERTO POR PAF,SIN REGISTRO
TRAUMA TORAXICO ABIERTO PENETRANTE POR PAF-PERDIGONES,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX MIEMBROS SUPERIORES POR PAF,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX MIEMBRO SUPERIOR POR PAF,SIN REGISTRO
HERIDA PENETRANTES DE MIEMBRO SUPERIOR TORAX POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POPR PAF,SIN REGISTRO
HERIDA CEFÁLICA PENETRANTE POR BALA,SIN REGISTRO
HERIDA PENETRANTE CERVICO-TORACICA 01 X PAF HERIDA PERFORANTE BRAZO DERECHO 01 X PAF,SIN REGISTRO
HERIDA CERVICAL PENETRANTE POR BALA,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PROYECTIL DE ARMA DE FUEGO PAF.,SIN REGISTRO
TEC SEVERO TRAUMATISMO TORACICO ABIERTO POR PAF,SIN REGISTRO
TRAUMA PENETRANTE ABDOMINAL EVISCERATIVA POR PAF,SIN REGISTRO
HERIDA PENETRANTE ABDOMINAL POR BALA,SIN REGISTRO
HERIDAS POR PAF EN CABEZA CUELLO TÓRAX Y MIEMBRO SUPERIOR IZQUIERDO,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO GRAVE CON FRACTURA CRANEAL ASOCIADA POR PAF PERCUTADO,SIN REGISTRO
HERIDA PERFORANTE DE VENTRÌCULO DERECHO POR PAF,SIN REGISTRO
2 HERIDAS PENETRANTES POR PAF EN CABEZA - 1 HERIDA PERFORANTE POR PAF EN TORAX,SIN REGISTRO
LACERACION ENCEFALO CEREBELOSA POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CABEZA Y TORACOABDOMINAL,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICO CERVICALES POR BALA - UNA PENETRANTE -,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PROYECTIL DE ARMA DE FUEGO PAF,SIN REGISTRO
HERIDAS PERFORO CONTUSAS EN CABEZA UNA Y TORAX DOS PERFORANTES POR PAF,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN TORACO-ABDOMINAL 01 X PAF Y HERIDA PENETRANTE EN REGIÓN SACRA 01 X PAF,SIN REGISTRO
3 HERIDAS PERFORANTES Y 1 PENETRANTE POR PAF EN CARA -1 HERIDA PENETRANTE POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO TORÁCICO POR PAF,SIN REGISTRO
TRAUMATISMOS MULTIPLES ABDOMINALES POR BALA,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES TORAXICAS Y ABDOMINALES POR PAF,SIN REGISTRO
TRAUMATISMO VERTEBRO MEDULAR CERVICAL POR PAF,SIN REGISTRO
HERIDAS PERFORANTES EN CABEZA 02 X PAF HERIDA PENETRANTE EN CABEZA 01 X PAF Y HERIDA PENETRANTE CEFALO-CERVICAL 01 X PAF,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF FRACTURA DE MIEMBRO SUPERIOR IZQUIERDO OR PAF,SIN REGISTRO
HERIDA PENETRANTE ABDOMINAL POR BALA.,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA 01 POR PAF Y HERIDA PERFORANTE EN REGION TORACO ABDOMINAL 01 POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA 01 X PAF Y HERIDA PERFORANTE CERVICO-CEFÁLICA 01 X PAF,SIN REGISTRO
TRAUMATISMOS MULTIPLES EN EXTREMIDADES POR PAF,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CRANEO Y EN HEMITORAX DERECHO,SIN REGISTRO
FRACTURA CRANEAL LACERACION ENCEFALICA POR PAF CORTO,SIN REGISTRO
HERIDA PERFORANTE TORÁCICA POR BALA,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO SEVERO ABIERTO POR PAF A CORTA DISTANCIA.,SIN REGISTRO
TRAUMATISMO TOTACOABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF HEMOPERITONEO,SIN REGISTRO
03 HERIDAS PENETRANTES POR PAF EN CABEZA,SIN REGISTRO
UNA HERIDA PERFORANTE POR PAF EN CABEZA Y UNA HERIDA PENETRANTE POR PAF EN TORAX,SIN REGISTRO
DOS HERIDAS PERFORANTES Y UNA PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO DE MIEMBRO SUPERIOR ABIERTO POR PAF,SIN REGISTRO
TEC CON FRACTURA CRANEAL ASOCIADA X PAF PERCUTADO,SIN REGISTRO
HERIDA DE CURSO PERFORANTE EN REGION ABDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO MIEMBRO INFERIOR ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAFTRAUMATISMO VERTEBRODORSAL POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CORAZÓN Y PULMÓN DERECHO,SIN REGISTRO
HERIDA PERFORANTE EN REGION TORACICA 01 X PAF,SIN REGISTRO
HERIDA POR PAF EN CABEZA,SIN REGISTRO
POLITRAUMATISMOS ABIERTOS POR PAF,SIN REGISTRO
LACERACIÓN POR PAF DE TEJIDO CEREBRAL CEREBELOSO Y TRONCO ENCEFÁLICO,SIN REGISTRO
HERIDAS PENETRANTES Y PERFORANTES DE TORAX POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO SEVERO POR PAF,SIN REGISTRO
HERIDA PENETRANTE ESCAPULO CERVICO FACIAL POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE ABDOMEN Y MIEMBRO SUPERIOR POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE PAF EN CORAZÓN,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN TORACO-CERVICAL 01 X PAF Y HERIDA PENETRANTE EN REGIÓN TORÁCICA 01 X PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO - CERVICAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO EN EXTREMIDAD INFERIOR DERECHA POR PAF 01 PERFORANTE,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL POR PAF,SIN REGISTRO
TRAUMATISMOS DE ORGANOS INTRATORACICOS INTRABDOMINALES Y MACIZO FACIAL POR PAF,SIN REGISTRO
TRAUMATISMO MÚTLIPLE POR PAF,SIN REGISTRO
HERIDA DE CURSO PERFORANTE EN TÓRAX POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN TORAX -HERIDA PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO DE CRANEO Y TORAXICO ABIERTO POR PAF,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX,SIN REGISTRO
TRAUMATISMO ABIERTO TORAXICO POR PAF,SIN REGISTRO
TRAUMA ABDOMINAL POR PAF.,SIN REGISTRO
HERIDA PERFORANTE POR PAF TORACO ABDOMINAL,SIN REGISTRO
HERIDAS POR PAF EN ABDOMEN Y TÓRAX,SIN REGISTRO
TRAUMA TORACICO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE DE TORAX POR PAF.,SIN REGISTRO
HERIDAS POR PAF EN TORAX Y MANO DERECHA,SIN REGISTRO
HERIDA POR PAF EN TÓRAX,SIN REGISTRO
MÚLTIPLES HERIDAS POR PAF EN TÓRAX Y ABDOMEN,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO GRAVE POR PAF.,SIN REGISTRO
HERIDAS PERFORANTES EN MIEMBROS INFERIORES BILATERAL POR PAF CON FRACTURA DE FEMUR IZQUIERDO,SIN REGISTRO
PERFORACION PULMONAR IZQUIERDA POR PAF,SIN REGISTRO
TRAUMATISMO OCULAR ABIERTO DERECHO POR PAF,SIN REGISTRO
TRAUMATISMO ABIERTO X PAF,SIN REGISTRO
OCHO HERIDAS PERFORANTES EN MIEMBROS INFERIORES REGION PELVICO ABDOMINAL Y MIEMBRO INFERIOR DERECHO POR PAF,SIN REGISTRO
(03) HERIDAS PERFORANTES POR PAF EN CABEZA,SIN REGISTRO
HERIDAS POR PAF EN CABEZA ABDOMEN Y PELVIS,SIN REGISTRO
TORACICO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOCEFALICO ABOERTO POR HERIDA PERFORANTE POR PAF,SIN REGISTRO
HERIDA PENETRANTE POR PAF TORACO - ABDOMINAL,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES DE TORAX POR PAF,SIN REGISTRO
01 ORIFICIO DE ENTRADA DE PAF EN FOSA ILIACA IZQUIERDA.,SIN REGISTRO
HERIDAS PENETRANTES DE PAF EN CARA TÓRAX Y EXTREMIDADES SUPERIORES.,SIN REGISTRO
FRACTURA CRANEAL CON LACERACION ENCEFALICA POR PAF,SIN REGISTRO
TRAUMATIMO TORÁCICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF -- 01 PERFORANTE,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF --TORACO ABDOMINAL,SIN REGISTRO
TRAUMATISMO ENCEFALO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO MACIZO FACIAL - CERVICO - TORÁCICO POR PAF 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO VERTEBRO MEDULAR TORACICO POR PAF,SIN REGISTRO
LACERACION CEREBRALES Y VISCERAL POR PAF,SIN REGISTRO
ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ABIERTO DE TÓRAX POR PAF,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN TÓRAX,SIN REGISTRO
HERIDAS POR PAF EN TORAX,SIN REGISTRO
LACERACIÓN PULMONAR DE GRANDES VASOS CORAZÓN POR PAF,SIN REGISTRO
HERIDA PERFORANTE FACIOCRANEAL POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CABEZA ABDOMEN Y BRAZO IZQUIERDO,SIN REGISTRO
CERVICAL C1 POR PAF,SIN REGISTRO
01 HERIDA PENETRANTE FACIO TORAXICA POR PAF.,SIN REGISTRO
POLITRAUMATISMOS MULTIPLES EN AORTA - PULMONES - MIEMBRO SUPERIOR IZQUIERDO POR PAF.,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX - ABDOMEN,SIN REGISTRO
LACERACIÓN PULMONAR BILATERAL Y PERICARDICA POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CRÁNEO 01 PERFORANTE 01 PENETRANTE,SIN REGISTRO
MÚLTIPLES TRAUMATISMOS ABIERTOS EN MANO DERECHA Y MIEMBROS INFERIORES POR PAF,SIN REGISTRO
LACERACION DE ARTERIA ILIACA IZQUIERDA- AORTA ABDOMINAL- ASAS INTESTINALES- HÍGADO-DIAFRAGMA POR PAF,SIN REGISTRO
HERIDA POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF-HERIDAS CONTUSAS PERFORANTES Y PENETRANTES POR PAF-,SIN REGISTRO
HERIDA PERFORANTE EN CRÁNEO Y CARA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO POR PAF 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF ..02 PERFORANTES,SIN REGISTRO
LACERACIÓN PULMONAR - LACERACIÓN HEPÁTICA POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTILE POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
LACERACION CEREBRAL Y PULMONAR POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CUELLO Y TORAX,SIN REGISTRO
TRAUMATISMO ABDOMINOPELVICO ABIERTO POR PAF,SIN REGISTRO
HERIDAS POR PAF EN TORAX Y ABDOMEN,SIN REGISTRO
HERIDAS PENETRANTE Y PERFORANTE DE TORAX POR PAF,SIN REGISTRO
HOMICIDIO,SIN REGISTRO
HERIDAS POR PAF EN CABEZA Y CUELLO,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN ABDOMEN Y MIEMBROS INFERIORES 03,SIN REGISTRO
HERIDA ABIERTA EN TÓRAX ANTERIOR POR PAF MÚLTIPLE,SIN REGISTRO
HERIDA EXPUESTA EN CABEZA Y ROSTRO POR PAF MÚLTIPLE,SIN REGISTRO
HERIDA PERFORAN TE POR PAF EN LA CABEZA.,SIN REGISTRO
PERFORACION DE ORGANOS ABDOMINALES Y TORACICOS POR PAF,SIN REGISTRO
TRAUMATISMO PÉLVICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFÁLICO - TORÁCICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLCO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINO TORÁCICO POR PAF,SIN REGISTRO
TRAUMATISMO TÓRACO - ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CABEZA -CUELLO--TORAX-ABDOMEN- PELVIS Y MIEMBRO SUPERIOR IZQUIERDO,SIN REGISTRO
HERIDA POR PAF EN TORAX ABDOMEN PELVIS ANTEBRAZO Y PIERNA IZQUIERDA,SIN REGISTRO
LACERACION CEREBRAL POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CUELLO TORAX ABDOMEN PELVIS Y MANO DERECHA,SIN REGISTRO
HERIDAS POR PAF EN TORAX ABDOMEN HOMBRO DERECHO Y MIEMBRO SUPERIOR IZQUIERDO,SIN REGISTRO
HERIDAS POR PAF EN CABEZA TORAX ABDOMEN Y MIEMBRO SUPERIOR DERECHO,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF 01 PENETRANTE,SIN REGISTRO
01 HERIDA PENETRANTE EN CABEZA Y 05 HERIDAS PENETRANTES POR PAF EN TÓRAX Y ABDOMEN,SIN REGISTRO
TRAUMATISMO TÓRACO ABDOMINAL ABIERTO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF 02 PENETRANTES - 01 PERFORANTE,SIN REGISTRO
1 HERIDA PENETRANTE POR PAF EN CABEZA 2 HERIDAS PERFORANTES POR PAF EN TÓRAX Y 1 HERIDA PENETRANTE POR PAF EN TÓRAX,SIN REGISTRO
HERIDAS POR PAF EN CABEZA CUELLO Y TORAX,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CORAZON Y EN PULMON IZQUIERDO.,SIN REGISTRO
TRAUMATISMO TORACOABDOMINOPÉLVICO ABIERTO POR PAF,SIN REGISTRO
02 HERIDAS PENETRANTES EN TORAX DERECHO POR PAF,SIN REGISTRO
02 HERIDAS PERFORANTES POR PAF EN TORAX 02 HERIDAS PENETRANTES POR PAF ABDOMINALES,SIN REGISTRO
01 HERIDA PERFORANTE POR PAF,SIN REGISTRO
01 PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF PERFORANTES,SIN REGISTRO
TEC GRAVE POR PAF TIPO UNIPROYECTIL,SIN REGISTRO
LACERACIÓN - CONTUSIÓN PULMONAR Y CARDIACA POR PAF,SIN REGISTRO
TRAUMATISMOS DE TORAX ABIERTO PENETRANTES POR PAF,SIN REGISTRO
TRAUMATISMO MAXILO FACIAL- ENCEFALICO POR PAF,SIN REGISTRO
LACERACION PULMONAR PERFORANTE POR PAF,SIN REGISTRO
PERFORACIONES PULMONARES BILATERALES POR PAF PERDIGONES.,SIN REGISTRO
TRAUMATISMO HEPÁTICO SEVERO POR PAF.,SIN REGISTRO
HERIDAS PERFORANTES TORAXICAS POR PAF,SIN REGISTRO
POLITRAUMATIZADO POR HERIDA PENETRANTES POR PAF EN CABEZA TORAX ABDOMEN Y CUELLO,SIN REGISTRO
TRAUMATISMO CRANEO - CERVICO- TORÁCICO POR PAF 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF - 02 PENETRANTES,SIN REGISTRO
LACERACIÓN PULMONAR - LACERACIÓN ASAS INTESTINALES POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANENANO SEVERO POR PAF,SIN REGISTRO
MÚLTIPLES TRAUMATISMOS POR PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF 01 PENETRANTE HERIDA CONTUSA POR PAF 01 PENETRANTE,SIN REGISTRO
LACERACIÓN CONTUSIÓN DE PULMONES - PERICARDIO - CORAZON POR PAF,SIN REGISTRO
1 HERIDA PENETRANTE POR PAF EN CABEZA- 2 HERIDAS PENETRANTES POR PAF EN TORAX - Y 1 HERIDA PENETRANTE POR PAF EN ABDOMEN,SIN REGISTRO
CONTUSION Y LACERACION PULMONAR - PERICARDICA - CARDIACA POR PAF,SIN REGISTRO
LACERACIÓN - CONTUSIÓN PULMONAR - CARDIACA - PERICÁRDICA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF 06 PENETRANTES,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF LACERACION DE ARTERIA AORTA ABDOMINAL,SIN REGISTRO
LACERACION HEPATICA POR PAF,SIN REGISTRO
TRAUMATISMO MULTIPLE CRANEO ENCEFALICO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN LA CABEZA,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CABEZA Y HERIDA PERFORANTE POR PAF EN HEMITORAX DERECHO,SIN REGISTRO
